item.i_brand
tableSize: 18000
nullRows: 40
denominator: 1.0
groupSize: 80
lastGroupSize: 64
intype: 5 271
intype: 4 245
intype: 3 35
intype: 2 20
intype: 5 62
intype: 1 6
intype: 5 79
intype: 3 32
intype: 4 61
intype: 3 22
intype: 2 20
intype: 1 12
intype: 1 11
intype: 4 247
intype: 4 72
intype: 5 65
intype: 5 60
intype: 3 40
intype: 5 74
intype: 2 41
intype: 2 32
intype: 4 39
intype: 5 60
intype: 3 40
intype: 4 44
intype: 5 73
intype: 2 8
intype: 5 494
intype: 1 18
intype: 1 13
intype: 3 31
intype: 5 65
intype: 3 41
intype: 5 305
intype: 4 272
intype: 2 20
intype: 2 49
intype: 3 23
intype: 4 272
intype: 5 61
intype: 3 233
intype: 4 57
intype: 5 278
intype: 1 16
intype: 3 66
intype: 3 226
intype: 1 18
intype: 3 271
intype: 5 41
intype: 1 9
intype: 4 34
intype: 3 31
intype: 4 249
intype: 3 44
intype: 2 35
intype: 3 64
intype: 1 15
intype: 2 23
intype: 4 292
intype: 4 38
intype: 5 84
intype: 2 25
intype: 3 26
intype: 4 53
intype: 4 33
intype: 2 254
intype: 4 71
intype: 1 13
intype: 5 72
intype: 3 268
intype: 4 254
intype: 3 23
intype: 3 280
intype: 4 273
intype: 1 26
intype: 4 63
intype: 4 44
intype: 3 232
intype: 4 52
intype: 2 38
intype: 1 8
intype: 5 91
intype: 3 45
intype: 2 13
intype: 2 13
intype: 4 36
intype: 4 80
intype: 5 64
intype: 5 284
intype: 4 52
intype: 1 14
intype: 4 254
intype: 2 19
intype: 5 52
intype: 3 43
intype: 2 43
intype: 3 55
intype: 5 53
intype: 3 250
intype: 5 84
intype: 1 18
intype: 2 21
intype: 4 72
intype: 4 41
intype: 5 85
intype: 3 27
intype: 3 42
intype: 1 8
intype: 4 273
intype: 2 231
intype: 1 14
intype: 2 37
intype: 1 16
intype: 2 30
intype: 2 37
intype: 2 33
intype: 2 250
intype: 1 16
intype: 5 72
intype: 1 8
intype: 3 24
intype: 1 19
intype: 4 40
intype: 5 55
intype: 4 66
intype: 5 73
intype: 2 31
intype: 2 31
intype: 5 57
intype: 3 62
intype: 3 44
intype: 1 5
intype: 3 40
intype: 3 41
intype: 4 243
intype: 3 25
intype: 2 24
intype: 2 230
intype: 4 64
intype: 4 43
intype: 4 39
intype: 4 48
intype: 2 40
intype: 5 88
intype: 2 20
intype: 5 319
intype: 4 36
intype: 3 42
intype: 5 59
intype: 3 38
intype: 1 9
intype: 3 38
intype: 2 13
intype: 4 62
intype: 4 64
intype: 2 256
intype: 2 27
intype: 4 63
intype: 4 508
intype: 4 42
intype: 3 36
intype: 1 5
intype: 5 63
intype: 2 17
intype: 4 239
intype: 4 54
intype: 3 271
intype: 4 35
intype: 3 51
intype: 3 27
intype: 3 40
intype: 4 65
intype: 4 59
intype: 2 10
intype: 1 24
intype: 4 51
intype: 2 36
intype: 3 48
intype: 2 207
intype: 1 12
intype: 2 251
intype: 5 54
intype: 3 266
intype: 5 52
intype: 2 11
intype: 5 269
intype: 4 56
intype: 4 292
intype: 3 36
intype: 1 8
intype: 3 33
intype: 2 55
intype: 2 19
intype: 3 72
intype: 4 37
intype: 5 280
intype: 3 23
intype: 1 10
intype: 2 15
intype: 4 41
intype: 1 4
intype: 2 237
intype: 3 264
intype: 2 30
intype: 3 497
intype: 2 19
intype: 5 69
intype: 5 470
intype: 4 39
intype: 5 68
intype: 4 279
intype: 4 68
intype: 4 53
intype: 2 25
intype: 1 4
intype: 5 59
intype: 3 28
intype: 3 36
intype: 1 15
intype: 4 53
intype: 3 36
intype: 5 39
intype: 5 89
intype: 5 72
intype: 2 13
intype: 3 247
intype: 2 10
intype: 3 28
intype: 5 104
intype: 5 60
intype: 4 62
intype: 2 249
intype: 1 11
intype: 2 45
intype: 5 240
intype: 4 260
intype: 5 265
intype: 4 64
intype: 3 47
intype: 4 57
intype: 1 220
intype: 2 23
intype: 5 63
intype: 3 33
intype: 5 271
intype: 1 3
intype: 2 25
intype: 5 76
intype: 5 277
intype: 5 311
intype: 3 27
intype: 2 16
intype: 5 279
intype: 5 73
intype: 2 37
intype: 3 54
intype: 1 14
intype: 2 13
intype: 3 231
intype: 1 15
intype: 4 258
intype: 2 28
intype: 3 29
intype: 5 98
intype: 3 42
intype: 1 15
intype: 3 34
intype: 5 79
intype: 3 45
intype: 5 67
intype: 5 80
intype: 3 25
intype: 4 264
intype: 1 12
intype: 1 4
intype: 3 37
intype: 4 274
intype: 1 18
intype: 3 40
intype: 2 26
intype: 4 31
intype: 5 72
intype: 3 44
intype: 1 15
intype: 4 37
intype: 2 32
intype: 3 34
intype: 1 20
intype: 3 35
intype: 4 51
intype: 2 30
intype: 2 30
intype: 5 69
intype: 1 13
intype: 5 80
intype: 2 19
intype: 4 256
intype: 3 52
intype: 1 16
intype: 5 275
intype: 1 5
intype: 2 248
intype: 3 54
intype: 5 40
intype: 1 12
intype: 2 249
intype: 4 272
intype: 1 21
intype: 4 42
intype: 1 9
intype: 2 39
intype: 5 269
intype: 5 49
intype: 1 8
intype: 2 26
intype: 5 71
intype: 4 272
intype: 4 44
intype: 3 44
intype: 4 60
intype: 5 56
intype: 2 32
intype: 3 45
intype: 2 34
intype: 3 249
intype: 5 61
intype: 2 237
intype: 2 23
intype: 2 27
intype: 2 10
intype: 3 40
intype: 3 35
intype: 4 59
intype: 5 43
intype: 2 33
intype: 5 45
intype: 1 23
intype: 3 53
intype: 3 33
intype: 2 228
intype: 3 39
intype: 2 27
intype: 2 45
intype: 2 20
intype: 1 14
intype: 1 16
intype: 3 47
intype: 5 85
intype: 4 49
intype: 3 44
intype: 2 24
intype: 2 15
intype: 5 93
intype: 5 299
intype: 4 47
intype: 1 18
intype: 2 242
intype: 1 17
intype: 2 17
intype: 3 45
intype: 1 23
intype: 4 36
intype: 3 36
intype: 5 33
intype: 1 14
intype: 2 265
intype: 5 34
intype: 1 11
intype: 2 21
intype: 1 12
intype: 2 37
intype: 1 8
intype: 3 46
intype: 4 241
intype: 4 65
intype: 3 45
intype: 5 41
intype: 3 247
intype: 2 27
intype: 5 55
intype: 3 39
intype: 2 39
intype: 1 19
intype: 2 17
intype: 4 42
intype: 1 8
intype: 4 44
intype: 5 54
intype: 4 58
intype: 2 10
intype: 1 6
intype: 3 23
intype: 1 13
intype: 4 37
intype: 2 38
intype: 1 12
intype: 4 43
intype: 4 32
intype: 5 69
intype: 1 5
intype: 5 78
intype: 1 5
intype: 3 34
intype: 5 262
intype: 1 22
intype: 5 90
intype: 1 21
intype: 2 23
intype: 5 67
intype: 3 26
intype: 1 14
intype: 1 20
intype: 1 14
intype: 2 32
intype: 4 53
intype: 4 68
intype: 2 20
intype: 1 8
intype: 1 24
intype: 1 18
intype: 1 16
intype: 4 248
intype: 5 244
intype: 1 221
intype: 5 77
intype: 1 243
intype: 5 72
intype: 5 64
intype: 4 33
intype: 1 26
intype: 3 40
intype: 1 5
intype: 4 48
intype: 3 26
intype: 4 67
intype: 3 35
intype: 2 31
intype: 5 51
intype: 5 38
intype: 2 30
intype: 1 10
intype: 5 88
intype: 3 250
intype: 3 231
intype: 2 19
intype: 1 8
intype: 3 48
intype: 5 54
intype: 5 56
intype: 1 18
intype: 1 13
intype: 4 50
intype: 4 39
intype: 5 71
intype: 1 19
intype: 5 31
intype: 3 17
intype: 1 8
intype: 3 53
intype: 5 54
intype: 5 68
intype: 4 82
intype: 5 61
intype: 2 46
intype: 5 96
intype: 5 66
intype: 1 12
intype: 2 234
intype: 3 17
intype: 5 60
intype: 4 261
intype: 2 48
intype: 2 20
intype: 2 212
intype: 3 33
intype: 5 51
intype: 4 45
intype: 3 26
intype: 4 49
intype: 4 44
intype: 2 45
intype: 4 278
intype: 1 7
intype: 4 51
intype: 1 12
intype: 1 17
intype: 2 226
intype: 5 299
intype: 4 312
